song_name,polarity,subjectivity
last_train_home,0.03571428571428571,0.09999999999999999
shouldnt_matter_but_it_does,-0.0979166666666667,0.6
wild_blue,-0.024999999999999998,0.22916666666666666
why_you_no_love_me,-0.2525,0.5799999999999998
carry_me_away,0.07594405594405594,0.546923076923077
til_the_right_one_comes,-0.0019144144144144376,0.5756756756756756
new_light,0.11282467532467533,0.46774891774891764
shot_in_the_dark,-0.18333333333333332,0.5984848484848485
i_guess_i_just_feel_like,0.13888888888888887,0.4407407407407407
all_i_want_is_to_be_with_you,-0.25,0.8
